produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Pâtes nouilles à l'ancienne LUSTUCRU,LUSTUCRU,3073190101014,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-nouilles-a-l-ancienne-lustucru-3073190101014
Pâtes coquillettes oeufs LUSTUCRU,LUSTUCRU,3073190101236,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-oeufs-lustucru-3073190101236
Nouilles poulet teriyaki,,3036815444705,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-poulet-teriyaki-3036815444705
Pâtes Spaghetti aux Œufs Frais LUSTUCRU,LUSTUCRU,3660861025658,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-aux-oeufs-frais-lustucru-3660861025658
Pâtes Étoiles CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560071562601,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-etoiles-carrefour-classic-3560071562601
Nouilles instantanées bœuf & soja CARREFOUR SENSATION,CARREFOUR SENSATION,3560071451707,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-boeuf-soja-carrefour-sensation-3560071451707
Ramen Saveur Sauce Soja OYAKATA,OYAKATA,5901384506698,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/ramen-saveur-sauce-soja-oyakata-5901384506698
Pâtes torsettes 3 oeufs LUSTUCRU,LUSTUCRU,3073190101267,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-torsettes-3-oeufs-lustucru-3073190101267
Ramen Saveur Poulet Shio OYAKATA,OYAKATA,5901384506681,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/ramen-saveur-poulet-shio-oyakata-5901384506681
Nouilles instantanées poulet & curry CARREFOUR SENSATION,CARREFOUR SENSATION,3560071451714,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-poulet-curry-carrefour-sensation-3560071451714
Pâtes penne rigate CARREFOUR,CARREFOUR,3560071017439,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-rigate-carrefour-3560071017439
Pâtes cannelloni CARREFOUR,CARREFOUR,3560070777013,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-cannelloni-carrefour-3560070777013
Nouilles instantanées crevette & soja CARREFOUR SENSATION,CARREFOUR SENSATION,3560071528621,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-crevette-soja-carrefour-sensation-3560071528621
Nouilles boeuf DAISUKI,DAISUKI,3036815444712,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-boeuf-daisuki-3036815444712
