produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Brosse à dents Souple Enfant Junior CARREFOUR SOFT,CARREFOUR SOFT,3560071409791,"0,73 €",0.73,hygiene_brosse_a_dents,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/brosse-a-dents-souple-enfant-junior-carrefour-soft-3560071409791
Bananes Cavendish,,3523680237445,"0,73 €",0.73,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/bananes-cavendish-3523680237445
Eau de javel Eucalyptus CARREFOUR EXPERT,CARREFOUR EXPERT,3560071225681,"0,75 €",0.75,entretien_eau_de_javel,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/eau-de-javel-eucalyptus-carrefour-expert-3560071225681
Abricots vrac REFLETS DE FRANCE,REFLETS DE FRANCE,3276552263690,"0,75 €",0.75,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/abricots-vrac-reflets-de-france-3276552263690
Poudre à lever  Bio CARREFOUR BIO,CARREFOUR BIO,3560071240134,"0,75 €",0.75,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/poudre-a-lever-bio-carrefour-bio-3560071240134
Levure Boulangère Pains et Brioches CARREFOUR ORIGINAL,CARREFOUR ORIGINAL,3245413419996,"0,75 €",0.75,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-boulangere-pains-et-brioches-carrefour-original-3245413419996
Liquide vaisselle Peaux sensibles Extrait d'Aloe Vera Dégraissant CARREFOUR ESSENTIAL,CARREFOUR ESSENTIAL,3560071188931,"0,75 €",0.75,entretien_liquide_vaisselle,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/liquide-vaisselle-peaux-sensibles-extrait-d-aloe-vera-degraissant-carrefour-essential-3560071188931
Pâtes Nouilles CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560071562618,"0,75 €",0.75,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-nouilles-carrefour-classic-3560071562618
Baguette campagne FILIERE QUALITE CARREFOUR,FILIERE QUALITE CARREFOUR,3276559529683,"0,75 €",0.75,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-campagne-filiere-qualite-carrefour-3276559529683
Macédoine de légumes CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070302109,"0,75 €",0.75,alimentaire_conserves_simples,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/macedoine-de-legumes-carrefour-classic-3560070302109
