produit,marque,code_barre,prix,prix_num,categorie,enseigne,url_produit
NATURALINE Mini sablés bio saveur italienne à la farine d'épeautre,,,N/A,,farine,Auchan,https://www.auchan.fr/naturaline-mini-sables-bio-saveur-italienne-a-la-farine-d-epeautre/pr-C1820501
AUCHAN BIO Snacks à base de farine de pois chiches,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-bio-snacks-a-base-de-farine-de-pois-chiches/pr-C1237661
AUCHAN BIO Snacks à base de farine de lentilles,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-bio-snacks-a-base-de-farine-de-lentilles/pr-C1237657
TIPIAK Tapioca petits grains et velouté recette traditionnelle,,,N/A,,farine,Auchan,https://www.auchan.fr/tipiak-tapioca-petits-grains-et-veloute-recette-traditionnelle/pr-C1543299
BLOCH Tapioca julienne cuisine et potages,,,N/A,,farine,Auchan,https://www.auchan.fr/bloch-tapioca-julienne-cuisine-et-potages/pr-C1270401
VINH THUAN Farine de riz gluant,,,N/A,,farine,Auchan,https://www.auchan.fr/vinh-thuan-farine-de-riz-gluant/pr-C1731949
MAIZENA Fleur de maïs sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/maizena-fleur-de-mais-sans-gluten/pr-C1270488
TIPIAK Fine chapelure de pain,,,N/A,,farine,Auchan,https://www.auchan.fr/tipiak-fine-chapelure-de-pain/pr-C1270282
AUCHAN Fécule de maïs,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-fecule-de-mais/pr-C1270419
MAIZENA Fleur de maïs sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/maizena-fleur-de-mais-sans-gluten/pr-C1270486
TIPIAK Fécule de pomme de terre,,,N/A,,farine,Auchan,https://www.auchan.fr/tipiak-fecule-de-pomme-de-terre/pr-C1270288
FLORALINE Fécule de blé et tapioca,,,N/A,,farine,Auchan,https://www.auchan.fr/floraline-fecule-de-ble-et-tapioca/pr-C1270420
MON FOURNIL Fécule de maïs bio sans gluten,,,N/A,,farine,Auchan,https://www.auchan.fr/mon-fournil-fecule-de-mais-bio-sans-gluten/pr-C1263828
BLOCH Fécule de pomme de terre pour sauces et pâtisseries,,,N/A,,farine,Auchan,https://www.auchan.fr/bloch-fecule-de-pomme-de-terre-pour-sauces-et-patisseries/pr-C1270422
