nom,prix,categorie,localisation
Pâtes coquillettes blé complet CARREFOUR EXTRA,N/A,pates,33000 Bordeaux
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,N/A,pates,33000 Bordeaux
Pâtes fusilli blé complet bio CARREFOUR BIO,N/A,pates,33000 Bordeaux
Pâtes farfalle blé complet ALNATURA,N/A,pates,33000 Bordeaux
Spaghetti ALPINA,N/A,pates,33000 Bordeaux
Pâtes Tagliatelle blé noir IGP Bretagne MAISON HERMINE,N/A,pates,33000 Bordeaux
Pâtes spaghetti CARREFOUR,N/A,pates,33000 Bordeaux
Pâtes capellini CARREFOUR,N/A,pates,33000 Bordeaux
Pâtes linguine CARREFOUR,N/A,pates,33000 Bordeaux
Pâtes tagliatelles CARREFOUR,N/A,pates,33000 Bordeaux
pâtes alimentaires spaghetti CARREFOUR CLASSIC',N/A,pates,33000 Bordeaux
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',N/A,pates,33000 Bordeaux
Pâtes spaghetti n°11 moule en bronze CARREFOUR ORIGINAL,N/A,pates,33000 Bordeaux
Pâtes spaghetti blé complet CARREFOUR EXTRA,N/A,pates,33000 Bordeaux
Pâtes d'Alsace Nids à l'Ancienne IGP REFLETS DE FRANCE,N/A,pates,33000 Bordeaux
Pâtes spätzle REFLETS DE FRANCE,N/A,pates,33000 Bordeaux
Pâtes papillons reflets de france REFLETS DE FRANCE,N/A,pates,33000 Bordeaux
Pâtes spaghetti bio CARREFOUR BIO,N/A,pates,33000 Bordeaux
Pâtes spaghetti semi-complets bio CARREFOUR BIO,N/A,pates,33000 Bordeaux
Pâtes Tagliatelle Bio CARREFOUR BIO,N/A,pates,33000 Bordeaux
Pâtes spaghetti sans gluten CARREFOUR NO GLUTEN !,N/A,pates,33000 Bordeaux
Pâtes spaghetti SIMPL,N/A,pates,33000 Bordeaux
Pâtes spaghetti n°5 BARILLA,N/A,pates,33000 Bordeaux
Pâtes capellini n°1 BARILLA,N/A,pates,33000 Bordeaux
Pâtes spaghettoni n°7 BARILLA,N/A,pates,33000 Bordeaux
Pâtes mafaldine collezione BARILLA,N/A,pates,33000 Bordeaux
Pâtes capellini n°1 BARILLA,N/A,pates,33000 Bordeaux
Pâtes spaghettini n°3 BARILLA,N/A,pates,33000 Bordeaux
Pâtes spaghetti n°5 BARILLA,N/A,pates,33000 Bordeaux
Pâtes penne blé complet CARREFOUR EXTRA,N/A,pates,59000 Lille
Pâtes coquillettes blé complet CARREFOUR EXTRA,N/A,pates,59000 Lille
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,N/A,pates,59000 Lille
Pâtes fusilli blé complet bio CARREFOUR BIO,N/A,pates,59000 Lille
Pâtes farfalle blé complet ALNATURA,N/A,pates,59000 Lille
Spaghetti ALPINA,N/A,pates,59000 Lille
Pâtes Tagliatelle blé noir IGP Bretagne MAISON HERMINE,N/A,pates,59000 Lille
Pâtes spaghetti CARREFOUR,N/A,pates,59000 Lille
